issue_id,title,description,comments
66facf9773d4d62ba79a7fab,Lack of proper drainage system,This is the condition of our roads during heavy rainfall.,"['asd', 'sad', 'mero ghar pani dubyo :(', 'sad*']"
66fbf5ae9651f13398e0f5ce,Potholes in road,There are potholes in the street in my area and it gets worse during rainfall.,"['dayum', 'woohooo']"
66fbfa3d9651f13398e0f64d,Roadside parking,Due to lack of parking facilities we have to park our vehicles in roadside. This makes the path narrow and further causes difficulty for other vehicles to pass through.,['new comment']
66fc16a35e1271fd96cb27d5,Build a park at river bank,There are empty lands near river bank which can be transformed into parks.,[]
66fce63f4c8d1e09fe6620df,Build a park in this empty space,"The vacant lot at Khusibun has been unused for an extended period, leading to overgrown bushes and various difficulties for the community. Transforming this space into a community park will not only enhance the neighborhood’s aesthetic appeal but also provide a safe and enjoyable environment for residents of all ages.",['agreed']
66fd79b8a218577fe38f1c19,floodd ,flood in my locality,[]
6704941df924f59bfe46a69d,testing for province,issue raised while testing for province,['working ???']
67049984be4d7e6190043c0c,new issue,BLAH BLAH,['yo']
670dfd338e757c76ef60d81c,upvote test,test,['comment test']
6711596a55e427780a6a9580,Testingg,test,[]
